year,overall_pick,team,player,position,games_played,point_shares
2023,148,Seattle Kraken,Kaden Hammell,D,0,0.0
2023,149,Minnesota Wild,Aaron Pionk,D,0,0.0
2023,150,Los Angeles Kings,Matthew Mania,D,0,0.0
2023,151,Winnipeg Jets,Thomas Milic,G,3,0.0
2023,152,New York Rangers,Rasmus Larsson,D,0,0.0
2023,153,Toronto Maple Leafs,Hudson Malinoski,C,0,0.0
2023,154,New Jersey Devils,Chase Cheslock,D,0,0.0
2023,155,Colorado Avalanche,Nikita Ishimnikov,D,0,0.0
2023,156,Columbus Blue Jackets,Melvin Strahl,G,0,0.0
2023,157,Dallas Stars,Arno Tiefensee,G,0,0.0
2023,158,Carolina Hurricanes,Ruslan Khazheyev,G,0,0.0
2023,159,Florida Panthers,Olof Glifford,G,0,0.0
2023,161,Anaheim Ducks,Vojtech Port,D,0,0.0
2023,162,Arizona Coyotes,Samu Bau,C,0,0.0
2023,163,Carolina Hurricanes,Timur Mukhanov,LW,0,0.0
2023,164,New Jersey Devils,Cole Brown,LW,0,0.0
2023,165,Montréal Canadiens,Filip Eriksson,C,0,0.0
2023,166,Arizona Coyotes,Carsen Musser,G,0,0.0
2023,167,Chicago Blackhawks,Milton Oscarson,C,0,0.0
2023,168,Seattle Kraken,Visa Vedenpaa,G,0,0.0
2023,169,Detroit Red Wings,Rudy Guimond,G,0,0.0
2023,170,St. Louis Blues,Matthew Mayich,D,0,0.0
2023,171,Vancouver Canucks,Aiden Celebrini,D,0,0.0
2023,172,Philadelphia Flyers,Ryan MacPherson,C,0,0.0
2023,173,Buffalo Sabres,Sean Keohane,D,0,0.0
2023,174,Pittsburgh Penguins,Cooper Foster,C,0,0.0
2023,175,Nashville Predators,Austin Roest,C,0,0.0
2023,176,Calgary Flames,Yegor Yegorov,G,0,0.0
2023,177,New York Islanders,Zachary Schulz,D,0,0.0
2023,178,New York Rangers,Dylan Roobroeck,C,0,0.0
2023,179,Tampa Bay Lightning,Warren Clark,D,0,0.0
2023,180,Seattle Kraken,Zeb Forsfjall,C,0,0.0
2023,181,Minnesota Wild,Kalem Parker,D,0,0.0
2023,182,Los Angeles Kings,Ryan Conmy,RW,0,0.0
2023,183,New York Rangers,Ty Henricks,LW,0,0.0
2023,184,Edmonton Oilers,Nathaniel Day,G,0,0.0
2023,185,Toronto Maple Leafs,Noah Chadwick,D,0,0.0
2023,186,New Jersey Devils,Daniil Karpovich,D,0,0.0
2023,187,Colorado Avalanche,Jeremy Hanzel,D,0,0.0
2023,188,Boston Bruins,Ryan Walsh,C,0,0.0
2023,189,Dallas Stars,Angus MacDonell,C,0,0.0
2023,190,Carolina Hurricanes,Michael Emerson,RW,0,0.0
2023,191,Florida Panthers,Luke Coughlin,D,0,0.0
