First Name,Last Name,Position,GP,Salary,PS,draft_overall,age,position_group,predicted_value_total
Tomas,Nosek,LW/C,11,575000,0.0,300.0,25,F,-0.025796735973389252
Damon,Severson,D,80,600000,3.4,60.0,23,D,3.914265851636285
Colin,McDonald,RW/C,3,625000,0.2,51.0,33,F,0.07189480687400329
Matt,Beleskey,LW,49,4000000,-0.2,112.0,29,F,0.5237297103785777
Blake,Comeau,LW/RW,77,2400000,0.7,47.0,31,F,1.7468515816163812
Phillip,Di Giuseppe,LW,36,867500,-0.3,38.0,24,F,0.26141097464024793
Torrey,Mitchell,C/RW,78,1300000,1.3,126.0,32,F,2.3773361489365215
Joel,Vermin,RW,18,575000,0.1,186.0,25,F,0.08586427177693749
Josh,Morrissey,D,82,832500,3.7,13.0,22,D,3.9236023542647387
Nicklas,Backstrom,C,82,7000000,9.9,4.0,30,F,9.861396606729341
Josh,Anderson,RW,78,700000,4.0,95.0,23,F,3.6150786510715434
Markus,Granlund,C,69,850000,3.2,45.0,24,F,3.400574693430445
Brendan,Perlini,LW,57,925000,2.3,12.0,21,F,2.079807361487979
Garnet,Hathaway,RW,26,722500,0.3,300.0,26,F,0.2327472216450665
Lars,Eller,C/LW/RW,81,4250000,2.6,13.0,28,F,2.6050311596888482
Pavel,Buchnevich,RW/LW,41,925000,2.3,75.0,22,F,1.9571763165214797
Matt,Hendricks,LW/C,42,1850000,0.3,131.0,36,F,0.9476343021689505
Derick,Brassard,C,81,5000000,4.1,6.0,30,F,4.165449796540448
Leon,Draisaitl,C,82,925000,9.6,3.0,22,F,9.447901458807568
Jake,Dotchin,D,35,615000,2.7,161.0,23,D,1.041404970960436
Jonas,Brodin,D,68,4000000,4.1,10.0,24,D,3.39052626565784
Xavier,Ouellet,D,66,715000,3.2,48.0,24,D,2.0019386919699853
Teddy,Purcell,LW/RW,12,1600000,0.0,300.0,32,F,-0.06501288249071535
Duncan,Siemens,D,3,874125,-0.1,11.0,24,D,-0.05185910733739874
Brad,Marchand,LW/C,80,5000000,12.6,71.0,29,F,11.076030051140272
Radim,Vrbata,RW,81,1000000,5.3,212.0,36,F,6.652203743152127
William,Karlsson,C,81,1000000,2.0,53.0,24,F,2.119409595347666
Jayson,Megna,C,58,600000,0.1,300.0,27,F,0.2986234434102601
Marcus,Foligno,LW,80,2250000,2.1,104.0,26,F,3.2324195084496004
Kris,Versteeg,RW/LW,69,950000,3.9,134.0,31,F,4.399852454812395
Chris,Thorburn,RW/LW,64,1200000,-0.4,50.0,34,F,-0.0950494152555299
Brian,Flynn,C/RW,51,950000,0.8,300.0,29,F,0.8619639903855788
Michael,Frolik,RW/C,82,5000000,4.9,10.0,29,F,5.312805939109992
Alex,Steen,LW/C,76,6500000,5.0,24.0,33,F,6.2815777557665005
Joel,Edmundson,D,69,900000,4.2,46.0,24,D,2.4716886698859666
Shea,Weber,D,78,12000000,10.1,49.0,32,D,7.57763711548007
Mikko,Rantanen,RW,75,925000,3.6,10.0,21,F,4.536731308184862
Joel,Eriksson Ek,C/RW/LW,15,925000,0.8,20.0,20,F,0.6498890243975703
Brandon,Tanev,LW/C/RW,51,874125,-0.6,300.0,26,F,0.026708641475193952
Valtteri,Filppula,C/LW,79,5000000,3.7,95.0,33,F,4.793091050484803
Viktor,Stalberg,LW/RW,75,1500000,1.2,161.0,31,F,1.944291618808192
Vladimir,Sobotka,LW/C,1,2725000,0.2,106.0,30,F,0.1316814807474696
Gemel,Smith,C,17,670000,0.5,104.0,23,F,0.555571526536962
Nate,Schmidt,D,60,875000,4.5,300.0,26,D,1.7451163013799795
Brian,Gionta,RW,82,3250000,3.0,82.0,38,F,3.9059612413512808
Joshua,Ho-Sang,RW/C,21,925000,1.0,28.0,21,F,0.9149221054655162
Jason,Zucker,LW/RW,79,2000000,6.7,59.0,25,F,5.698992512177427
Micheal,Haley,C,58,625000,1.0,300.0,31,F,0.8108495283454212
Julius,Honka,D,16,925000,0.5,14.0,22,D,0.5195966927937021
Cal,Clutterbuck,RW,66,3500000,1.2,72.0,30,F,1.7424449431098268
Matthew,Benning,D,62,925000,3.5,175.0,23,D,2.3408370283678375
Nick,Holden,D,80,1650000,6.8,300.0,30,D,4.789838612600591
Viktor,Arvidsson,LW/RW,80,640000,8.7,112.0,24,F,7.861283654129325
Jacob,De la Rose,LW,9,925000,-0.3,34.0,22,F,-0.14450672551494181
Vladislav,Namestnikov,C/LW,74,1900000,2.2,27.0,25,F,2.8849680430816544
Robby,Fabbri,C/LW,51,925000,2.5,21.0,21,F,2.839832546213214
Ondrej,Palat,LW,75,4000000,5.6,208.0,26,F,7.028682510853425
Ryan,Callahan,RW,18,6500000,0.1,127.0,32,F,0.4347415877610365
Magnus,Paajarvi,LW,32,700000,2.1,10.0,26,F,1.2984742044866728
Travis,Konecny,C/LW,70,925000,2.7,24.0,20,F,2.885492801192456
Jimmy,Vesey,LW,80,925000,2.2,66.0,24,F,3.3392939447023933
Philip,Larsen,D,26,1025000,0.7,149.0,28,D,0.6551737725347413
Nikolaj,Ehlers,LW,82,925000,7.2,9.0,21,F,7.486790543170881
Brady,Skjei,D,80,925000,6.4,28.0,23,D,4.624577685699741
Jay,Beagle,C/RW,81,1750000,3.5,300.0,32,F,3.29770211903985
Taylor,Hall,LW/C,72,6000000,5.9,1.0,26,F,6.215419714533339
Nail,Yakupov,RW/LW,40,2500000,0.5,1.0,24,F,0.3440903938908386
Vinnie,Hinostroza,LW/C,49,667500,1.1,169.0,23,F,1.401503860538718
Braydon,Coburn,D,80,3700000,3.2,8.0,32,D,1.8090047841429437
Patrick,Brown,C,14,650000,-0.5,300.0,25,F,-0.2722723440296134
Colin,White,C/D,2,925000,0.0,21.0,20,F,-0.035856753316432816
Samuel,Morin,D,1,832500,0.0,11.0,22,D,-0.02777251962856349
Conor,Sheary,LW,61,667500,7.3,300.0,25,F,6.119196306905691
Brendan,Gaunce,C/LW,57,832500,-0.3,26.0,23,F,-0.40697917271040784
Daniel,Sedin,LW,82,7000000,3.8,2.0,37,F,4.5603827286272045
Patrik,Laine,RW,73,925000,8.9,2.0,19,F,8.23155728726474
Pavel,Zacha,C,70,925000,1.5,6.0,20,F,2.1994400399459333
Vincent,Trocheck,C/RW,82,3750000,5.5,64.0,24,F,7.107534680430437
Dennis,Wideman,D,57,6000000,3.2,241.0,34,D,3.1297144197843143
Ryan,Murphy,D,27,750000,-0.3,12.0,24,D,0.20464635227523245
Alex,Pietrangelo,D,80,7000000,9.2,4.0,27,D,7.627757258437775
Alex,Carrier,D,2,640000,0.1,115.0,21,D,-0.032734948023807664
Jamie,McGinn,LW/RW,72,3000000,0.4,36.0,29,F,1.4525863017043616
Nick,Sorensen,RW,5,925000,0.0,45.0,23,F,0.026890471131102538
Mathew,Barzal,C,2,925000,-0.1,16.0,20,F,-0.05354153499731312
Jakob,Silfverberg,RW/LW,79,3000000,6.1,39.0,27,F,6.1616635663381185
Mark,Stone,RW,71,3750000,6.8,178.0,25,F,7.274865591591512
Evgeni,Malkin,C/RW,62,9500000,9.9,2.0,31,F,9.00412895174544
Joakim,Nordstrom,LW/C,82,1250000,0.0,90.0,25,F,1.2280544906410853
Anthony,Beauvillier,C/LW,66,925000,2.2,28.0,20,F,2.3385978923319657
Pontus,Aberg,LW,15,842500,-0.1,37.0,24,F,-0.07066456748640974
Craig,Smith,RW/LW/C,78,4000000,3.0,98.0,28,F,3.049527242494639
Mark,Stuart,D,42,2700000,1.1,21.0,33,D,1.2398959136464007
Jack,Johnson,D,82,5000000,6.3,3.0,30,D,4.01758096144214
Miikka,Salomaki,RW,5,575000,-0.1,52.0,24,F,0.03623580424412595
Nick,Jensen,D,49,600000,2.3,150.0,27,D,2.0074181506030553
Josh,Bailey,RW/LW/C,82,3700000,5.2,9.0,28,F,6.626492484051255
Patrick,Marleau,LW/C,82,6500000,6.0,2.0,38,F,5.866886608736835
Stephen,Gionta,RW/C,26,575000,0.6,300.0,34,F,0.17295992919956873
Joseph,Labate,C,13,680000,-0.2,101.0,24,F,-0.2545437051654531
Nick,Shore,C,70,600000,1.3,82.0,25,F,1.4088330818984802
Ryan,Suter,D,82,9000000,9.3,7.0,32,D,5.640539854639654
Marc-Edouard,Vlasic,D,75,4250000,5.8,35.0,30,D,5.2175627190357625
Tomas,Plekanec,C,78,7000000,2.4,71.0,35,F,3.2788205510342183
Colton,Parayko,D,81,925000,6.7,86.0,24,D,5.161214449502933
