First Name,Last Name,Position,GP,Salary,PS,draft_overall,age,position_group,predicted_value_total
Milan,Lucic,LW,82,8000000,5.7,50.0,29,F,5.859529003298762
Logan,Couture,C/LW,73,6000000,6.9,9.0,28,F,7.207539229987524
Sebastian,Aho,RW/LW,82,925000,5.9,35.0,20,F,5.7260890240590125
Nino,Niederreiter,RW,82,3500000,7.4,5.0,25,F,6.453390962746992
Michael,Bournival,LW,19,575000,0.1,71.0,25,F,0.1335292213278686
Evander,Kane,LW,70,6000000,5.1,4.0,26,F,5.488650942802914
Hampus,Lindholm,D,66,3000000,5.6,6.0,23,D,3.426536555245971
Nikita,Nesterov,D,48,725000,3.1,148.0,24,D,1.6844683966047285
Tyler,Bertuzzi,LW,7,667500,-0.1,58.0,22,F,-0.17168640214745046
Jared,Spurgeon,D,76,4250000,8.9,156.0,28,D,6.371488782331707
Lukas,Sedlak,C/LW,62,600000,1.6,158.0,24,F,1.3363963259317062
Drake,Caggiula,LW/C,60,925000,1.6,300.0,23,F,1.5301905810797805
Steve,Ott,C/LW,53,800000,-0.1,25.0,35,F,0.28303315971793325
Alex,Ovechkin,LW/RW,82,10000000,8.7,1.0,32,F,8.451256146055368
Cal,O'Reilly,C,11,700000,-0.3,150.0,31,F,-0.08345015391792718
Darren,Helm,C,50,5000000,1.4,132.0,30,F,1.763789412683281
Nick,Cousins,C/LW,60,840000,1.1,68.0,24,F,1.4343604733359212
Brad,Hunt,D,12,600000,0.9,300.0,29,D,0.42837184801609657
Shayne,Gostisbehere,D,76,925000,5.2,78.0,24,D,5.621848469270368
Logan,Shaw,C/RW,55,660000,0.7,76.0,25,F,0.4819867071411791
Riley,Sheahan,C,80,2075000,-1.2,21.0,26,F,0.8953779091499958
Paul,Stastny,C,66,7000000,4.5,44.0,32,F,4.661726726063121
Blake,Wheeler,RW,82,5800000,8.2,5.0,31,F,9.042845295162916
Zemgus,Girgensons,C/LW,75,1150000,0.8,14.0,23,F,1.1943588567959995
Dylan,Larkin,C/LW,80,925000,2.3,15.0,21,F,3.6273265925597205
Paul,Ladue,D,22,925000,1.0,181.0,25,D,0.7219592165938862
Niklas,Kronwall,D,57,5500000,2.3,29.0,36,D,2.0651582997379374
Tomas,Hertl,C/RW,49,2800000,1.9,17.0,24,F,2.71850020521542
Drew,Stafford,RW/LW,58,4350000,2.1,13.0,32,F,1.6765330383178376
Ian,McCoshen,D,3,925000,0.2,31.0,22,D,0.06017184551802718
Joel,Ward,RW/C,78,3275000,2.2,300.0,37,F,3.5943081327545583
Chris,Stewart,RW/LW,79,1200000,2.3,18.0,30,F,1.9475627765243353
Derek,MacKenzie,C/LW,82,1300000,0.6,128.0,36,F,1.8664391189906078
Alexey,Marchenko,D,41,1300000,2.3,205.0,25,D,1.4486587729758378
Rene,Bourque,RW/LW,65,650000,1.2,300.0,36,F,1.8383637312821668
Mark,Scheifele,C,79,5000000,10.3,7.0,24,F,9.863966084927899
Blake,Coleman,C/LW,23,692500,-0.4,75.0,26,F,0.1122353795365673
Mirco,Mueller,D,4,832500,0.5,18.0,22,D,0.21951253512311528
Taylor,Chorney,D,18,775000,1.5,36.0,30,D,0.7332069348850083
Victor,Hedman,D,79,4250000,12.0,2.0,27,D,10.093639639686632
Steven,Santini,D,38,925000,1.3,42.0,22,D,0.7094393387431013
Nicolas,Kerdiles,LW,1,925000,0.0,36.0,23,F,0.025202137418792736
Tanner,Glass,LW,11,1000000,0.1,265.0,34,F,0.1316960552668084
Dan,Renouf,D,1,692500,0.0,300.0,23,D,0.008639593141884016
Colin,Miller,D,61,900000,3.3,151.0,25,D,1.6555585575291383
Josh,Leivo,LW,13,575000,1.1,86.0,24,F,0.9396613164984715
Jake,Guentzel,C/LW,40,667500,4.4,77.0,23,F,3.8410304014847774
Danny,DeKeyser,D,82,4000000,2.0,300.0,27,D,3.564345727204296
Ty,Rattie,RW,9,650000,0.0,32.0,24,F,0.04556591861209932
Alex,Petrovic,D,49,1200000,2.7,36.0,25,D,1.8017420760014775
Kevin,Gravel,D,49,667500,2.3,148.0,25,D,1.3103296053297464
Brendan,Guhle,D,3,667500,0.1,51.0,20,D,0.07193478110241702
