First Name,Last Name,Position,GP,Salary,PS,position_group,predicted_value_total,replacement_level,value_above_replacement,fair_market_salary,surplus_value
Thomas,Chabot,D,1,925000,-0.2,D,-0.0224492238156705,0.6185429142735327,-0.6409921380892032,623245.0747460878,-301754.9252539122
Cody,Ceci,D,79,2250000,3.2,D,4.027930270117612,0.6185429142735327,3.4093873558440797,2858457.458648564,608457.4586485638
Kyle,Okposo,RW,65,8000000,5.0,F,5.201783633019822,0.1316814807474696,5.070102152272352,3774927.207882313,-4225072.792117687
Erik,Gudbranson,D,30,3500000,0.5,D,0.9491532457615148,0.6185429142735327,0.33061033148798213,1159426.406762511,-2340573.593237489
Tom,Wilson,RW,82,1750000,1.3,F,1.9675469979041744,0.1316814807474696,1.8358655171567049,1990105.3683214574,240105.3683214574
Brian,Campbell,D,80,1500000,4.3,D,3.0393587947298695,0.6185429142735327,2.420815880456337,2312911.7369528324,812911.7369528324
Anton,Rodin,RW,3,950000,0.1,F,0.0501150340234597,0.1316814807474696,-0.0815664467240099,931965.5872525343,-18034.412747465656
Evan,Rodrigues,LW/C,30,842500,0.2,F,0.3684758295985699,0.1316814807474696,0.2367943488511003,1107653.814462943,265153.814462943
Devante,Smith-Pelly,RW/C/LW,53,1250000,-0.3,F,0.7451835692598515,0.1316814807474696,0.6135020885123819,1315540.953449302,65540.95344930189
Matthew,Peca,C,10,925000,0.0,F,0.08966966362648,0.1316814807474696,-0.0420118171209896,953793.911749479,28793.91174947901
Andrew,Desjardins,LW/C,46,800000,-1.0,F,-0.543970763937907,0.1316814807474696,-0.6756522446853765,604117.8054106622,-195882.1945893378
Michael,Chaput,C,68,600000,-0.3,F,0.5817011251836245,0.1316814807474696,0.4500196444361549,1225322.7444895848,625322.7444895848
Ryan,White,C,65,1000000,0.9,F,1.6858096382204972,0.1316814807474696,1.5541281574730277,1834627.878788395,834627.8787883951
Sam,Bennett,C,81,925000,1.6,F,3.058106495527744,0.1316814807474696,2.9264250147802744,2591933.4434738685,1666933.4434738685
Colton,Sceviour,C/RW,80,950000,1.3,F,3.161050176955013,0.1316814807474696,3.029368696207543,2648743.179923352,1698743.1799233519
